"## RECSentity.id","entity.name","entity.categoryId","entity.message","entity.thumbnailUrl","entity.value","entity.pageUrl","entity.inventory","entity.margin","entity.brand"
"WDS_NEW0OPC1919","OPPO Reno 10x Zoom (8 GB) (พร้อมซิม AIS One-2-Call)","4,4:1389,4:1436,4:1438",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/p/a/packshot_sim_oppo-reno-10x-zoom-_8256gb__850x850_oceangreen_1.jpg","24990.00","https://store.ais.co.th/th/oppo-reno-10x-zoom-8gb-free-sim.html","16",,"Oppo"
"WDS_NEW0XM0MIGO","Xiaomi Redmi Go (พร้อมซิม AIS One-2-Call)","4,1332,1333,4:1389",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/p/a/packshot_sim_xiaomi-redmi-go_850x850_1.jpg","1790.00","https://store.ais.co.th/th/xiaomi-redmi-go-free-sim.html","0",,"Xiaomi"
"PAR_NEW0APP1244","iPad Pro ใหม่ รุ่น 12.9 นิ้ว (512 GB) Wi-Fi","19,355,19:27,19:1357,19:1359,1418",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/t/h/th_ipad_pro_4th_generation_gps_silver_aluminum_12.9in_pdp_us_1a_8_1_1.jpg","45400.00","https://store.ais.co.th/th/the-new-ipad-pro-12-9-inch-512-gb-wi-fi.html","0",,"Apple"
"PAR_NEW0AP0P732","iPad รุ่นที่ 7 (32 GB) WiFi","19,19:27,1329,19:1354,1396,1418,1436,1438,1441,19:27:1317",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/i/p/ipad_7_gold_850x850_1_2.jpg","8900.00","https://store.ais.co.th/th/ipad-7-wifi-32-gb.html","4",,"Apple"
"PAR_NEW0APP7128","iPad รุ่นที่ 7 (128 GB) WiFi","19,19:27,1329,19:1354,1396,1418,1436,1438,1441,19:27:1317",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/i/p/ipad_7_gold_850x850_1_3.jpg","11900.00","https://store.ais.co.th/th/ipad-7-wifi-128gb.html","21",,"Apple"
"PAR_NEW0AP0P732_wifi_cellular","iPad รุ่นที่ 7 (32 GB) WiFi + Cellular","19,211,19:27,19:1354,1396,1398,1400,1418,1433,1436,1437",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/t/h/th_ipad_silver_cellular_850x850_1_1.jpg","13400.00","https://store.ais.co.th/th/ipad-7-wifi-cellular-32-gb.html","53",,"Apple"
"PAR_NEW0AP0SE21","iPhone SE ใหม่ (64 GB)","4,4:39,4:1375,4:1377,4:1396,4:1398,4:1400,4:1418,4:1429,4:1436,4:1438,4:1455",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/t/h/th_iphonese_packshot_850x850_black_position_1_3.jpg","13900.00","https://store.ais.co.th/th/iphone-se-new-64-gb.html","59",,"Apple"
"PAR_NEW0AP0SE22","iPhone SE ใหม่ (128 GB)","4,4:39,4:1375,4:1377,4:1398,4:1400,4:1418,4:1429,4:1436,4:1438,4:1455",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/t/h/th_iphonese_packshot_850x850_black_position_1_4.jpg","15900.00","https://store.ais.co.th/th/iphone-se-new-128-gb.html","58",,"Apple"
"WDS_NEWAPP6SP32","iPhone 6s Plus 32GB (พร้อมซิม AIS One-2-Call)","4,4:39,4:1389,4:1436,4:1438",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/i/p/iphone6s-spacegray-pureangles_3_2.jpg","11900.00","https://store.ais.co.th/th/iphone-6s-plus-32gb.html","0",,"Apple"
"PAR_NEW0RM00C11_CDM","Realme C11 CDM-SIM LOCK","4,4:1309,4:1406,4:1421",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/r/e/realme_c11_grey_850_1_2.jpg","3499.00","https://store.ais.co.th/th/realme-c11-cdm-sim-lock.html","29",,"Realme"
"WDS_NEWAPP0I732","iPhone 7 (32 GB)(พร้อมซิม AIS One-2-Call)","4,4:1389,4:1436,4:1438",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/i/p/iphone7plus-black-pureangles_2_4_1_1.jpg","9000.00","https://store.ais.co.th/th/iphone-7-32gb-free-sim.html","0",,"Apple"
"WDS_NEW0AP0I632","iPhone 6 (32 GB) (พร้อมซิม AIS One-2-Call)","4,4:1389,4:1436,4:1438",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/p/a/packshot_sim_24.jpg","9500.00","https://store.ais.co.th/th/iphone-6-plus-32gb-free-sim.html","0",,"Apple"
"PAR_NEW0ONNORDG","OnePlus Nord (8/128GB)","4,4:475,4:1430,4:1436,4:1439,4:1455",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/k/v/kv_nord_ols_2.jpg","14990.00","https://store.ais.co.th/th/oneplus-nord-8-128gb.html","38",,"OnePlus"
"PAR_NEW0VV00Y20","VIVO Y20","4,4:63",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/v/i/vivo_y20_kv_1_1.jpg","5299.00","https://store.ais.co.th/th/vivo-y20.html","10",,"Vivo"
"PAR_NEW0VVV20PR","VIVO V20 Pro 5G","4,4:63",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/v/i/vivo_v20pro5g_kv.jpg","14999.00","https://store.ais.co.th/th/vivo-v20-pro-5g.html","42",,"Vivo"
"PAR_NEW0SSA013G_FREESIM","Samsung Galaxy A01 Core (2/32GB) ฟรีซิม AIS One-2-Call (AIS ครบเครื่อง)","4,4:14,4:1440",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/p/a/packshot_sim_a01_core_blue_850x850_1_1.jpg","2699.00","https://store.ais.co.th/th/samsung-galaxy-a01-core-free-sim-ais-one-2-call.html","96",,"Samsung"
"PAR_NEW0OP0A53F","OPPO A53 CDM-SIM LOCK (4/64GB)","4,4:34",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/o/p/oppo-a53_electric-black_850x850_1_1.jpg","5499.00","https://store.ais.co.th/th/oppo-a53-cdm-sim-lock-4-64gb.html","10",,"Oppo"
"PAR_NEW0HWWAFIT","Huawei Watch Fit","5,5:1453",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/h/w/hw_watchfit_black_1_1.jpg","3499.00","https://store.ais.co.th/th/huawei-watch-fit.html","15",,"HUAWEI"
"PAR_NEW0AS0ROG3","ASUS ROG Phone 3","590,1455,1459",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/a/i/ais-rog_phone_3_packshot_sz.850x850px_1_2.jpg","32990.00","https://store.ais.co.th/th/asus-rog-phone3.html","0",,"Asus"
"PAR_NEW0AP0P832","iPad ใหม่ (32 GB) Wi-Fi","19,19:27,19:1460",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/t/h/thth-ipad_wi-fi_space-gray_296x416_1.png","10900.00","https://store.ais.co.th/th/the-new-ipad-8-generation-wifi-32gb.html","58",,"Apple"
